Question,Option0,Option1,Option2,Option3,Option4,Option5
"可能是最近交了壞朋友 所以才變壞的
對啊 碧珊你趕快跟劉老師說對不起 請他原諒你
你們幹嘛這樣低聲下氣啊 他是罵我沒家教 又不是罵你們
",你罵夠了沒啊 考零分就考零分 你憑什麼罵我沒家教,碰到不會寫的題目 至少要填個答案上去,簡直就是小太妹嘛 我們以後要跟她保持距離才好,你嘴巴厲害 我倒是要看看你有理還是我有理,也對啦 因為你們兩個沒有把我教好嘛,你們不是叫我們要誠實嗎 我現在很誠實告訴你 我沒念
"上次那個答錄機摔壞了 要不要我幫你修啊
不用了
",你要當兵了嗎,那個搬家的時候就丟掉了,我覺得你的脾氣太衝了,不知道還在等,你知不知道,阿明啊
"默劇就希望說 我不要用真正的語言去說話 而是用身體去講話
原來如此啊 默劇竟然有這麼多的學問
",你們果園的工人做事情很粗心大意,像我們聾人朋友表演的形態 大部分也是以不出聲音為主,還在猶豫選校或選系的同學們 不妨聽聽老師怎麼說,歌聲這種東西其實好不好聽有時候是天生就決定的,小孩子還真的會做葡萄酒,汙染水源導致養殖文蛤大量暴斃
"我希望你能原諒我 繼續當同學 好嗎
",詠真 對不起 是我誤會你了,不用客氣 伯母,我只能當個旁觀者,不相信我帶你去看,所以這是一個很特別的夜晚,他可能太無聊吧
"媽 對不起 今天我不應該對你大吼大叫的 原諒我好不好
傻孩子 你是媽媽的寶貝 媽媽沒有生氣 只是有點難過
",這是我的專利,不過為了我自己的夢想 我一定會堅持到底的,我就得放棄自己的夢想嗎,媽 不要生氣好不好 拜託啦,媽 我知道啦,謝謝各位同學精彩的報告
"還在讀書嗎
",以後我真的不敢再鐵齒了,是我在玉井那個招待所親身經歷的,你也別把我叫那麼老,連小學生聽了都覺得是個笑話,這國內國外走南闖北的,早就畢業了啦
"所以我們現在要用鹽鍬 來 講一次
鹽鍬
台語叫做鹽鍬仔
",拜託你,鹽鍬仔,你不要羨慕啦,這是我日本朋友來台灣 特別送我的,很累呢,這 好痛喔
"務農的人 什麼是每餐必備的食物呢
",不要害我笑,湯一定要要啊 然後飯啦,令我感到驕傲,反正就是會想家,就說你嫁給我吧,剛剛講的故事是真的還假的
"去補習班的事情 你決定好了嗎
我覺得補習班的人好多 而且位子又好小
",請幫我簽名,其實念書還是要靠自己的,你怎麼會在這裡,補習班本來就是這樣,太吵或太安靜都不行,我旁邊還有空位
"人家那是正式的場合 難道你想穿奶罩啊
",好像那個過世的不是他朋友,你怎麼知道我有穿,希望等一下 阿陽不要認不出我們來,今天晚上是見他最後一面,原來你是真的要離開我,等一下我們的歌舞 都只獻給你一個人
"可是你現在要學 要兩年才能考上黑帶
還要兩年的時間喔
對
",跆拳道社團是我們學校最大的一個社團,那不就還要很久,同學們已經排好隊在那邊練習了,我今天要來拜訪的這個跆拳道社團,小兵說要表演什麼 好像神秘兮兮的,那邊有木板 幫我拿來分一下
"就是這本書 作者叫做鍾宛貞 她因為腦瘤 而造成了視覺跟嗅覺都喪失了功能
",我想在這邊要說明的是,在這整個規定還沒有制定之前,但是她仍然樂觀看待生命中的每一件事,其實從九十三年開始,部裡面已經協調人事局還有所有的用人機關,不再對所謂的中重度視障
"這地方太小了 我想要的都不在這裡 我想要去本島多看看多學習
",蕭成浩 你跩什麼跩 既然不喜歡這個地方 就不要在這裡啊,他問你現在生吃可以嗎,都是用這原理來開通,記得跟千晏一起回來吃飯,因為這裡是日治時代的貴族學校,然後由小朋友或者是我
"你們家就是動物園就對了
我比較嚴重 然後我也不知道為什麼這樣 所有的動物來講 牠真的處境堪憐才收留
你先告訴我們 你現在養了多少隻不同的動物
",哪次考過你們國語的啊,日出台語就是日出啦對不對,鹽在日常生活裡面有什麼妙用,真的是鹽甕仔生蟲不可能,學習事情不要想說投機取巧,十九隻狗 十九隻貓 三隻鵝 八隻雞 然後兩隻鴿子 一隻阿哥
"你的手怎麼會抖成這樣呢 怎麼了
不曉得 早上起床後 不知道為什麼 手指麻麻的
我想你應該是在睡覺的時候 長時間壓到手的關係才會發麻
",我把人生最真實的這一面 帶過來,分享給更多的人知道 他就覺得值得囉,他也自己寫了一本自傳 要跟社會大眾分享一下,台灣有兩千三百萬人 一年出現不到十個病例 為什麼是我,只是小毛病而已 過幾天就會好的啦,把這樣的一個熱愛生命鬥士 請到學校來
"你可以教我們怎麼曬魚嗎
",我在檢驗禽流感,魚已經曬完了 要等明天啊,謝謝醫生幫我打預防針,你們已經完成你們的任務,是由不一樣的病毒所引發,模擬出它立體的樣子
"你應該趕快被調去當兵才對
 這麼優秀還會自己做炸彈
我做這個只是好玩喔
",等一下,借看一下會怎樣啊,不會很亂哪,桌上那是什麼東西啊,你們不要到處亂講,你在裡頭幹嘛
"你們來看嘛 我之前寫報告的時候 有找到這些資料
什麼資料
你們看 日月潭喔
",這個四角網的捕魚方法,對喔我之前有去日月潭探索過,就把網子綁在四根竹子的四邊,然後這個竹子放下去的時候,就是它這個竹子有四邊嘛,游進去的時候
"登山要避免穿著紅色衣物
因為太過鮮豔會被蜂群叮上
",你現在出去看到紅綠燈,留下來的藏寶圖,這個時候又要和大家說再見了,會一點點呀學一點點,許多人也因此付出了性命,穿著淺色衣物比較恰當
"阿忠有一種那個 很神氣的那種感覺
有嗎 很臭屁
",她當初看到我的時候 感覺很臭屁,我對那個有藝術家氣息的人 都比較欣賞,應該是說很臭屁 很有自信,為了阿忠 阿萍還辭掉做了六年左右的 廣告招牌行政工作,就是叫我上去 示範幾招給他們看,然後我就去探班
"那你有沒有聽過一句話 叫做民以食為天
",那如果覺得這則流言是真的話,竟然有黑心的商人,這裡地方大概是日治時期的,這個注音符號它的拼音方法,然後呢再送到那邊去,民以食為天 有啊
"好冷喔 現在這邊大概攝氏大概四度
我們離開台北的時候 攝氏大概十四度
",你有想我喔,你是什麼星座,最害怕蜘蛛,所以相差了大概十度有,又一批小魚長大了,真實體驗魔鬼終結者劇情
"我想請問一下林老闆 你們經營這家店有多久了
三十年以上了
",老闆娘別客氣 儘管說出來,看到你們店裡 賣的都是很久以前的東西了,最近幾年這麼不景氣 你們還能夠保存這家店 真的是很不簡單,以前跟現在比較起來 以前生意好,旁邊改成了快速道路 所以住家都遷走了,我看你沒什麼天分
"宇翔 你當初為什麼會想要學騎馬呢
",那米開朗基羅牠的個性是怎麼樣的,大家才能夠共同贏得勝利嘛,所以所有的建築設計圖 都由政府免費提供,經過七七四十九天的深思熟慮,如果耳朵亂動的話 就是代表牠不專心,可能是興趣吧
"你還不是跟我一樣
我跟你才不一樣
不理你了
",我不知道耶,你又不胖,你的眼光也太特別了吧,我也不理你了,有時間要多練習,飲料隨你喝到飽
"那這個年畫是怎麼做的啊
我也不知道耶
應該去探索一下 你不是很有興趣嗎
",這個顏色也好鮮艷哦,真是讓我耳目一新,就是那種喜氣洋洋的,好漂亮哦,我們不會寂寞的,你就應該去探索一下 然後回來再跟我們分享你的探索心得啊
"透過高速旋轉的離心力 可以加快血液中 顆粒的沉降速度
",他跟我們講說這是龍蝦血,而讓不同密度的物質分離呢,因為牠是節肢動物,就是牠身體上有甲殼素,那牠的顏色就是叫血綠素,血怎麼這個顏色的啊
"我明天就可以做生意了
怎麼不多休息兩天
",夏令營的作業 大家一定要準時交,因為她要為以後出國念書的基金做準備,我命苦啊 而且家裡就這麼一個女兒 不也就希望她將來過得好一些,錢 她們一家都愛錢,那只是她隨便亂塗鴉而已 哪有什麼老師說得那麼好,只不過當畫家可沒那麼容易
"你兒子知道嗎
他不知道
你們不想讓他知道
",幼華還是順著兒子,那個廠商的產品,來看看他們家都怎麼吃的吧,看就知道啦,幼華非常擅長時間管理,聽到這段對話的幼華
"我們也想知道你心目中的班花類型
同學們 對不對
對
",這個皮夾很漂亮,離開教室 記得關好門窗,等一下你們要吃什麼,太好了 期待你的表現,其計劃挑戰火箭回收技術的更高難度,老師喜歡認真負責的女孩子
"由利 你的工作室在哪兒
",這個是我的秘密,客人最好是有日本淵源的,這家人的晚餐名單都是美女呢,聖誕節前夕,你們喜不喜歡來這邊,會想請誰來吃晚餐呢
"這匹馬是你自己的嗎
不是 是馬場的 然後我就自願來幫他們
那你為什麼要幫忙刷呢
",我應該要動哪裡呢,然後就開始學習騎了,我就蠻欣賞這個運動的,因為我等一下要騎牠,那你現在在綁什麼,我們怎麼可能歧視女生呢
"你這樣做是不對的
老師 這裡又不是教室 不要給我上課好不好 不付五萬塊 底片是不會給你們的
紀老師 不用跟他爭論了 既然他不願意把底片給交出來
",我們只是簽同意書,可以去翻翻六法全書,又不是訂合約,沒有法律上的限制,兩位要是不相信的話,我們就在網路上 把這家公司的惡行惡狀公佈出來
"你知道剛剛看到的那些海鳥 為什麼要俯衝下來呢
牠們是因為要覓食嗎
",母海鳥平均每半年 會生到一兩顆蛋,大家都樂在其中了,澎澎灘上還可以做浮潛,不是,恐怕還要加上觀光客的人數吧,恐怕還要加上觀光客的人數吧
"阿威啊 這是老闆要給你的啦
這是什麼
",那麼想念幹嘛,這邊的朋友揮揮你的手,碰到日出我就化陣煙飄走,我渴望安慰 卻顯得狼狽 只為那迷離香味,那件白色的絲巾誰的 快去把它收起來,早上有一個歐巴桑 打電話來找你
"舒琪 你有沒有在看書
有啊 我吃飽飯就進來讀書了
你在看哪一科
",他在高雄港站三十幾年了,已經沒有火車行駛了,我們火車是非常熱門的時候,國文科啊,所以非常的安全喔,把活動力很強的蝦子電昏
"女兒Zoy不但沒有偷懶
",你交了別的女朋友,還把爸爸傳授的省錢概念倒背如流,是下一期大樂透的號碼,可是渡邊他是日本人,留下來的藏寶圖,請查明後再播 謝謝
"所以現在我們去看看我們那些朋友囉
什麼朋友啊
",乾脆就住學校,他們在討論星星喔,就是我們那些森林的朋友啊,你不要取笑他,大家都掛在梅子樹上,都是從很多地方來
"我也要不停的彈下去 因為如果不這樣子的話 我就會像被冷凍在冰箱裡的花椰菜
",永遠沒有辦法跟人家分享我的感覺,後來才知道,真的有人掉到水裡被救起來,夏天結束的時候,唯一讓人心裡感覺溫暖的,就是巧克力又回到廣場練舞了
"晚餐吃火鍋
日本的火鍋跟台灣的火鍋不一樣
",這家是新竹非常有名的一家涼麵店,應該是你們不夠老,我比較喜歡吃日本的火鍋,剛剛接到以前合作的數位公司打電話來邀課,謝謝主辦單位 謝謝學長學弟,孔雀魚及小型魚最佳飼料
"巧柔 意文 他們剛剛那邊跑 在追什麼
老師 他們男生很機車耶 非得自己去交作業簿 而且還比誰跑第一
對啊 老師 他們男生真的很無聊 只會欺負我們女生
",他們男生還在選什麼班花 還投票喔 討厭死了啦,明天要戶外教學 大家記得要準時到,我已經忘記昨天吃什麼點心了,原先最浪漫的歐洲 現在卻瀰漫著一股深深的哀愁,明天就是總統選舉了,他的麵包吃起來不僅美味 更有人味
"可是我沒走過耶
沒關係 老師陪你走 走吧
",可是在詩人的眼裡 下雨也有另外一番風情,我實在是不知道女生這樣 會哭得這麼厲害,比賽就是這樣子 幾家歡樂幾家愁,國語文競賽第一名同學 請到川堂集合,我只是想了解一下嘛,謝謝老師陪我走過這一段路
"你看我做的 這個土星它是一個氣體行星 所以太空船沒有辦法降落哦
什麼是氣體行星
",如果呢我們有一個很大的游泳池,好特別哦,那如果科學家駕著太空船到土星的話 就會沉下去哦,它掛著一個游泳圈,氣體行星就是說 它沒有一個固體的地殼,其實不只有土星這樣子啦
"這裡的一切都是那麼的美好 因為我媽以前都帶我們小孩 小朋友去中興新村拍照
",因為我媽以前都帶我們小孩,對 那時候就是有很多回憶啊,因為我覺得我們家裡很窮,家汶有一台單眼照相機,玩到好像是我媽媽覺得結束了 才回家,是她自己打工賺錢買的
"你平常都怎麼照顧他
",增加新球隊是無可避免的趨勢,搜救人員今天仍持續在倒塌瓦礫中搜索 看是否能救出生還者,艾圖維絕對有機會挑戰美聯年度最有價值球員大獎的肯定,有時候餵他吃東西 偶爾帶他去散步,墾丁屬於國內超夯觀光勝地,當年可愛精明模樣早已不復存在
"好香喔 媽你在做什麼
我在炒牛肉青椒
是喔可以讓我試試看嗎
",把活動力很強的蝦子電昏,當然可以啦 來,通通都吃進肚子裡了,對啊他真的很奇怪耶,這是百分之五十的尿液對不對,我怎麼沒有想過啊
"這位就是今天的女主角 麗紅特別為她獻聲演出 你今天是為了她而唱的嗎
",當然藉著結婚的這個日子,因為麗紅姊的歌聲很甜美,真是令人羨慕,陽光小雨在這裡祝福這對新人,對 我就是今天要來獻唱給她聽,看到了沒
"就算你沒有參加運動比賽 平常也應該要多運動啊
怎麼
再不去運動啊 你看
",希望我們大家更多的認識,所以將心比心,看似弱小的獨角仙卻是甲蟲之王,我想這就是他的動機,你的小腹都要發福了,他很喜歡參加這樣的活動
"我就買了一些飲料 要請班上同學喝
不用這樣啦
",她跟同學之間的互動 還是讓她自己處理吧,不用打勾勾了啦 你自己控制好就好,沒關係啦 這是我一點心意,不會再惹你不高興了 好不好,我絕對不會再自作主張,我是去跟你的同學道歉
"名讀 你有沒有聞到一個臭味
有耶 好像一股鹹魚味
是不是你的
",他是我最崇拜的人,不是啦 又不臭,謝謝你們兩位男子漢囉,這種距離我也投得進啊,體育小老師你來當比較好,你陪兒子聊聊天
"看來同學們對這一則流言有很多種不同的說法
到底這個流言是真是假呢
",這些錄音帶的內容是什麼,海水的還有活一兩個,今天探索了哈瑪星一整天,所以沿途這個新誕生的地區,我們馬上到流言教室去找出答案,這件事情給你們的教訓
"濂僑 看你撒網捕魚的樣子 該不會打算帶觀眾朋友們去捕魚吧
",這點常識我還知道的,夏季盛產的丁香魚 更是遠近馳名喔,這是我發明的,那什麼時候最忙呢,所以這兩句聽起來的意思很像是一樣,沒錯
"你笑起來很好看喔
真的嗎 還好吧
",但是我居然拿到第三名,然後視野常常是一望無際,當然是真的啊 現在笑起來就很好看,鐵道已經生鏽,英文講義已經送來了,而且你不覺得玉屏最近變了很多嗎
"這裡的湖水風景真是好呀 濂僑大哥
我們現在所在的這個湖 叫做什麼湖啊
",全部的人都到齊了只缺主角,他就是我們今天的主角陳志朋先生,你會一點點手語耶,這裡是桃園縣龍潭鄉的觀光大池,待會再看你的草藥啦,真拿你沒辦法
"沒想到你也會來
是我媽告訴我的啊
",而且我在想 你應該也會來吧,他們就快要去美國了,現在正在申請學校,我姓姚叫我季平就可以了,意外的是這樣大的難關 竟是季平陪我走過的,宋老師 你還是跟以前一樣耶
"來 演一個
我跟你說 我第一個就是表演直升機的
那第二個呢
",但是比手畫腳難免會看錯啦,才能理解不同成員要傳達的意思,知道厲害了吧,所以我們在八十八年的時候,我們會變成旗艦版,我就是表演海啊
"我們跟你沒什麼好談的
你們以後給我離珍妮遠一點
你們要是誰敢亂說話傷害到她
",我看我們到旁邊談好了,把課本夾在習作裡,我就把你們的惡行惡狀畫在海報上,他就會比較珍惜你,別那麼雞婆啦,你又突擊檢查啊
"既然有過不愉快的婚姻經歷 怎麼又會在離婚四年之後 選擇再婚呢
我們也是透過人家介紹認識的
",因為公司最近生意不好,道江省的不僅是冷氣的錢,你爸今天有點反常,爺爺今天怎麼還不回來,確定我們要開始交往的時候,他今天有危機意識
"這樣你小時候 一定常常被媽媽打
",你如果不相信 我等一下使兩套功夫給你看,對啊要打的時候 趕快跳過圍牆 就打不到了啊,老師這個汽水喝一輩子也喝不完耶,它這個水是沒毒 就是那個氣的厲害,它這就是碳酸離子 它普通冷水是冷外表 這個會滲透到體內,它就是那個會冒泡的冷泉啦
"你們在幹什麼啦 怎麼在這邊欺負同學呢
",我警告你喔 以後離我們遠一點喔,下過雨的操場邊有些積水跟泥巴地,我們哪有欺負他 是他自己來把我褲子弄髒的,濺了他身上一身泥巴,那老師先送你去保健室,有件事情你可能要稍微注意一下
"小孩根本不看 只會點頭就跑去玩了 小孩真讓我頭痛
",真的很不容易,一般聽人只要用說的就可以了,因為小孩子都很怕父母碎碎唸,要管好小孩真不容易啊,但是聾人如果用手語,唸到耳朵都覺得痛
"什麼事跑得怎麼急
沒事啦 我只是想說回家幫媽媽煮飯
你媽媽怎麼了 身體不舒服嗎
",她很好 只是我覺得 一直以來都是媽媽做飯給我吃 偶爾該換我做飯給她了,你水桶是要換新的水 還是洗一洗就好了,你的動作怎麼變得這麼快,其實芳儀不是那麼的嬌弱 以後我不能再把她當溫室的花朵了,因為不太放心 芳儀在學校跟同學相處的情形,一個人的個性 到了一定的年紀 就很難有大的改變
"這一次你不但是誤會了奕瑄 還對他造成很大的傷害喔
老師 對不起啦 我只是開個玩笑而已 不知道他會這麼在意 我會好好向他道歉的
",我代替我媽向你道歉,應該是我跟你道歉才對,但是你們要道歉的對象不是我喔,你該道歉的人不是我,我只是想確保你不會受到傷害,除了向道歉之外 老師還希望你可以幫一個忙
"可是大部分的聽障朋友 都沒有拿攝影機的經驗
那怎麼辦啊
",他的肩膀上會戴上三顆星,他原本是個威武雄壯的軍人,他就是我們今天的主角陳志朋先生,今天要介紹的是祁六新先生,其實在政府和一些有心人士的協助之下呢 已經有專門為聽障朋友開設的影像訓練班,十八年來的傷殘折磨
"所以其實我們市面上買到的活蝦 牠不一定比冷凍蝦好是不是
",這本筆記是專門為舒琪整理的,那現在我帶你出去走一走,我大概一頁可以花35秒鐘看完,當然囉 其實冷凍蝦還比較好,時間已經過了二十五秒鐘了,所以現在給你們五秒鐘時間
"你小時候也比較怕你爸
",我們都很怕好不好,不放心爸爸一個人生活,開始緊張了起來,很想要瞭解兩性關係,這個家難得這麼熱鬧,因為我今天這一切都是為家人
"這個茶好好喝哦
好喝嗎
這是什麼茶
",這個是用桑葉做的,這個是要四個人平均的力量,把它整件攤開,攤開來以後我們就直接地拉,要這樣捧鬆,這個蠶絲被摸起來真的是又鬆又軟耶
"比方說我們把它換成一張紙 那它的效果跟氣球是一樣的
紙可是紙怎麼會飛啊
",剛剛那邊好多風箏喔,這一次就由我親自出馬,對啊這應該不大可能吧,圖案嘛對不對因為我們要畫圖案的關係,吸血鬼不要吸我的血,用這個竹蓆怎麼做
"你們兩個站那麼久要幹嘛
我們不敢打打到會痛啊
",讓我們來看看三重高中的同學們,來吸引更多的遊客,一下連看都不看對方,痛也沒關係本來要練劍道就會痛啊,所以有關於海鮮的流言,填出來的新生的地區
"這樣瞭解了吧
輝哥 你不要一直吃好不好
專心聽我
",你有沒有聽我講話,你什麼時候吃到小顆的,還在裝蒜,我昨天不是有帶一鍋湯來有沒有,那個湯裡面除了好吃的雞腿,我吃的都是小顆的
"乖孫喔 來跟你阿公講一下
要講什麼
",你幫我切這塊,你地價稅還沒繳,阿嬤就是怕你把我帶迷路啦,你要保佑她婚姻幸福,那我們來看一下練習題的部分,我講什麼 你就講什麼
"文化本身不等於流氓 你不能把它劃上等號 那你這個要公平的對待這事
",你已經把它忘記了嗎,比方說像它的對白,觀眾是要跟他們培養感情的,就是講出這句台詞的演員,你要給陣頭文化一個機會,自己演得到底好不好
"我真的不懂 她到底什麼意思 她到底喜不喜歡我
她說她跟你在一起很開心 那就表示她喜歡你了啊
",我好喜歡,可是我比較喜歡仔仔耶,那她為什麼不接受我的告白,可是班上的同學都不喜歡我,只要我喜歡啊,你為什麼那麼喜歡跟LuLu互傳簡訊了
"會覺得很孤單嗎
現在不會
當初
",快氣死了,你要自己看喔,成功了,當初會啊,就先填飽肚子吧,快一點啦
"兩位老師真是不好意思 這孩子真不懂禮貌
蕭先生 成浩他怎麼了 看起來好像不是太開心耶
",最主要是貨物的到達跟發送,還有易開罐的啤酒,你告訴他道理勸他,每一種的書我都非常喜歡,原本他計畫到台中找他叔叔去玩 但我不准讓他去所以他跟我生氣啦,那我只好來配合你
"曉書 你盯著腳幹什麼啊
濂僑 你有沒有想過
",能夠跟得上瞬息萬變的社會潮流才是,但是對於鑽法律漏洞,或者是不按規定的不肖份子,一雙腳可以做哪些事情呢,如果能有適當的罰則來對付,例如說是罰款
"你知道我為什麼找你出來嗎
我不知道
我只是想找個人陪我
",好險啊,才不到一個禮拜的時間,這幾天跌得可慘,試過沒有,你這個炸彈能用嗎,其實我早就知道我老公在外面一直有個女人
"睡在街頭也是常有的事 不過相較於沒精神的立宇 被音樂吸引來的路人
",小孩子的興趣跟他的專長,卻個個看來都還不想睡的樣子,我小費箱上面有而已,天冷季節的室內場地,薇仙還特別請了妹妹和媽媽,為什麼要到很遠的地方
"我剛剛看到梁碧珊她爸爸媽媽 在訓導處門口吵架耶
那有什麼稀奇 女兒不見了難免情緒不佳嘛
可是我聽見她媽媽說 都是因為她爸爸要離婚 所以碧珊才會變成這樣的
",是離婚嗎 還是不離婚跟他糾纏一輩子呢,真的哦 原來她性情大變 是因為家變啊,如果換作是我 我的反應搞不好還比她更勁爆 簡直無法想像耶,早就勸過她不要隨便找劉老師的麻煩 誰不知道劉老師最嚴格了,碧珊今天沒有來是不是有什麼事,她現在在我家
"可不可以麻煩你進去幫我問問看 看看我男朋友在不在好不好
",我等一下再回來這邊,拜託你啦拜託啦,你現在要去哪裡,你就隨便帶我繞一繞啊,你剛剛你男朋友我也不認識,我又不認識他你叫我去問
"林大哥 這是做什麼用的啊
我們這個是在控制 這三十八條路線是要讓火車進來出去還是轉彎
",目的都是要讓魚貨,可以示範看看嗎,你知道高雄的舊名叫打狗嗎,還跟酒廠的朋友們喝酒划酒拳,當初我只是想要幫舒琪,去讀職校也都是你的事
"二○一一年三月十一日 日本發生了 芮氏規模九點零的地震
",然後你就把這個插銷拉出來,並且引發驚人的海嘯,那第二個拉是,大部分的滅火器,是會有一根軟管的,它只要比這個大就會有軟管
"你是鄭叔叔嗎
對啊
你好 我是小中 叔叔 我想要體驗水上人家的生活
",這個魚會沿著山壁走,第一點就是因為,可以帶我去體驗一下嗎,我們把網放在這邊,那個魚經過的時候,我就可以把牠抓起來了
"你們這些業務真現實 現在不過是一個凶宅 就要我求你們啊
聽說那間房子出過很多事情 熟門熟路都知道 大家有所顧忌
賀總 可以讓我試試看嗎
",這座橋不是由這塊或是那塊石頭支撐的,在國道其他路段也有最低速限規定,在國道其他路段也有最低速限規定,德黑蘭的交通已經不是恐怖可以形容,當我和阿伯下定決心環遊世界 心裡總有微微的恐慌,希望你不會讓我失望
"那你在編什麼
頭帶
",食用過多深海魚會有重金屬污染的疑慮,海帶有很多的碘,做這決定還真不是件容易的事,可能是因為太操勞 所以意外病倒了,這件事若屬實 茲事體大,就是要綁在頭上的那種嗎
"平常有沒有什麼秘訣保養喉嚨
",買菜這種簡單而平凡的活動 對高家人來說 卻是一種幸福時光,我給你建議就是 你要嘛就當教練 不然你就當歌手 你不要兩個同時,一點都不好笑,答案就要揭曉了,一般的盆栽 當然要澆得比較頻繁一點,為什麼豆油伯也笑得這麼開心啊
"奕瑄 你還好吧
老師 我真的沒有A大家的錢 你不要聽芷穎亂講 你要相信我
",原來這就是相信的感覺,你要相信自己的才能啊,好好好 你先不要這麼激動 老師相信你,我相信你們老師,雖然老師相信你沒有抽煙 可是你上頂樓就是不對阿,你這樣子很難讓我相信你有氣質
"不過老師現在沒有男朋友 所以我想請你幫我設計一條貝殼做的項鍊好不好
沒問題 我明天就可以拿給你
",老師這是我們向妍如買的貝殼飾品 是她自己設計的,我可以只算你七折,好漂亮 好精緻,就這麼說定了,我剛剛好像聽到高利貸 什麼高利貸啊,你真的是高利貸
"所以今天下午 我應該是沒有辦法變成黑帶了
",你要自己懂得保護自己 但是不可以隨便去主動攻擊人家,第一次踢板的時候 那個時候踢得非常的爛,是不可能,那你一開始踢不破的時候 有沒有覺得自己怎麼那麼笨,為什麼每個人都講是可以跟人家對打呢,那你有沒有出去比賽過
"如果你們這樣要出國表演的話 打包起來大概有多少行李啊
我們上次出國的話 我們大概有七件大行李
",這布幕全部都要變成黑的 然後背景也全部都要黑的 這樣才能夠專心,其實我的行李早就在房間了,為什麼會有行李,七件就可以出國去表演喔 那你們算是一個 很迅速可以移動的部隊耶,行李裡面有毒品,陳大哥會事先準備很多的行李箱 然後把水果放在其中一個行李箱裡面
"在孩子學習的階段 我們要怎麼去關心孩子 幫助孩子學習課業呢
",今天非常謝謝鍾法官和李劍南老師 給我們這麼多難得的一些經驗,父母會不會擔心 沒有辦法跟她溝通啊,這個就是沙燕風箏的縮小版,我覺得讓孩子自動自發的學習是很重要的,我的夢想就是我要念昆蟲系,我們現在站的地方 就是我們的本山五坑了
"這個實驗實在是太聰明了啦
不是你想的方法 你也能這麼開心喔
",你們誰先來啊,我當然開心啦,你千萬不要小看它,這你相信嗎,應該是假的囉,大概也沒辦法
"你擅長的年菜是哪一道呢
",全家人團聚在一塊兒,我最拿手的是這一道丁香豬手招福壽,學員們個個滿心歡喜,我兩個兒子都好愛吃,我們還會再繼續的加強,希望找到可以發揮自己的專長
"都是你啦 出什麼餿主意嘛
這怎麼能怪我 是你自己叫我幫你想辦法的
",就當大家投資你買書的錢 也不為過啊,對啦對啦 反正衰的又不是你,你說誰是唐氏姊妹,他的打卡的卡片不見了,在這邊打瞌睡啊,我婆婆又對我很好
"我是有聽說成浩蠻有這方面的才華的
",因為我喜歡去知道各種不同的知識,可是如果這樣的話,對啊 學校音樂課羅老師如果有需要幫忙的話都會找成浩,一下連看都不看對方,台灣就自行研發了一種愛蘭白酒,我來到了綠島唯一的一所國中
"應該是那個顏色很怪 所以才叫怪水對不對
還是說其實是那個水裡面 有什麼水怪
",我姓蕭 蕭先生,什麼怪水 以前一直說這是毒龍潭,先別急 這個情況是這樣子 我也不知道,如果可以把我們這個 下課花路米的隊徽加上去的話 我覺得這樣會更好一點,誰叫你是瘋狂百米小兵啊,如果我們把材料換一下呢
"爸爸媽媽離婚之後
",你什麼都要學,給她鼓勵說你好棒喔,我跟爸爸一起住,要跟我澄清,現在我們聽聽她的說法吧,你一個女孩子
"你越是不甩他 不理他
",別那麼雞婆啦,你知道我意思嗎,你交了別的女朋友,在講多對基因遺傳,休息一下,他越是有可能回來找你的啦
"這話怎麼說呢
",因為早在十八世紀的時候 扯鈴曾經被傳到歐洲去了 並且造成流行,想不想再看明偉 出神入化的扯鈴絕技啊,現在會玩扯鈴的人 好像已經不多了,你作業寫不完 一定很著急吧,你看這個業的字首和字型 就是作業,接下來我們不先急著教手語
"明天考英文你看國文做什麼
",何況加進尿液的海水,裝了些什麼祕密呢,媽在旁邊指導你可不可以,同學們準備好作答了沒有,去讀職校也都是你的事,我在溫習我等一下就看英文了
"因為我們都知道馮凱導演 其實在電視圈非常有名 拍了很多全台灣人都等著
",我太太非常支持我,其實有三種不同類型的演員,去判斷你的每一個鏡頭,每天等著看的電視劇,陣頭的孩子會打架,這一萬五看完了
"老闆說搶不到死人了啦
夭壽喔 吃太快會弄破碗啦 慢慢來就好了
",吃了有沒有合胃口,剛剛快被那輛車嚇死了,乾杯乾杯,快點喔 你們這團每次都最慢啦,你這裡的東西不錯耶,你會覺得我們很怪嗎
"江議員 您好 今天很高興在這裡跟您碰面
",這個問題我沒有想過耶,我也很高興來參加活動,教學影片做的淺顯易懂,主要是這件事情要能成 要有各方的配合,請大家一起來分享,民主不是一個終點 是一個持續的過程
"在超級市場或魚市場買蝦或是買魚 光看顏色不一定可以證明牠們的新鮮度
",還要用鼻子聞聞看 如果你有聞到藥水味或是臭臭的刺鼻味就要小心了,我等一下要和千晏一起去圖書館看書,其實這裡大家很多不曉得,所以牠們和我的感情都很好,來吸引更多的遊客,有好朋友可以分享彼此的心事
"不然我們來比賽啊
好啊 比什麼
我們來找土星的資料 看誰找到比較多 然後比較有趣啊
",有這個腳踏車很好玩耶,好啊 要比就比啊 這次一定讓你認輸,港和國小我上次有來過,我今天會照顧你哦,我們先來參觀我們學校的天文館,那像這個太陽系裡面這麼多星星
